item_id,cpse,cluster_id,raw_description,location,stock_qty,unit_price_inr,target_unspsc
ONGC-100001,ONGC,1,VALVE-GLOBE-BW-3IN-CL600-SS316,Hazira Plant,12,53761,40141612
IOCL-100002,IOCL,1,"VALVE GLOBE, 3"", 600#, AISI 316, BW ENDS",Gujarat Refinery,98,50167,40141612
BPCL-100003,BPCL,1,VALVE GLOBE DN80 600LBS 316SS BUTTWELD,Kochi Refinery,123,53905,40141612
ONGC-100004,ONGC,2,VALVE-BALL-RF-2IN-CL600-WCB,Ankleshwar,7,46425,40141607
IOCL-100005,IOCL,2,"VALVE BALL, 2"", 600#, ASTM A216 WCB, FLGD RF",Paradip,29,43460,40141607
BPCL-100006,BPCL,2,VALVE BALL 50NB 600LBS CAST CS RAISED FACE,Kochi Refinery,70,45317,40141607
ONGC-100007,ONGC,3,VALVE-BALL-BW-8IN-CL800-A105,Hazira Plant,28,45498,40141607
IOCL-100008,IOCL,3,"VALVE BALL, 8"", 800#, ASTM A105, BW ENDS",Gujarat Refinery,127,44063,40141607
BPCL-100009,BPCL,3,VALVE BALL 200NB 800LB FORGED CS BUTTWELD,Bina Refinery,130,44145,40141607
ONGC-100010,ONGC,4,VALVE-GATE-BW-1/2IN-CL150-WCB,Ankleshwar,22,59170,40141611
IOCL-100011,IOCL,4,"VALVE GATE, 1/2"", 150#, ASTM A216 WCB, BW ENDS",Gujarat Refinery,45,60095,40141611
BPCL-100012,BPCL,4,VALVE GATE DN15 150LBS CAST CS BUTTWELD,Bina Refinery,20,60622,40141611
ONGC-100013,ONGC,5,VALVE-CHECK-RF-2IN-CL800-WCB,Mumbai High Offshore,37,40466,40141604
IOCL-100014,IOCL,5,"VALVE CHECK, 2"", 800#, ASTM A216 WCB, FLGD RF",Gujarat Refinery,52,38289,40141604
BPCL-100015,BPCL,5,VALVE CHECK 50NB 800LB CAST CS RAISED FACE,Bina Refinery,89,39826,40141604
ONGC-100016,ONGC,6,VALVE-GATE-BW-6IN-CL150-SS316,Ankleshwar,106,61985,40141611
IOCL-100017,IOCL,6,"VALVE GATE, 6"", 150#, AISI 316, BW ENDS",Gujarat Refinery,116,62318,40141611
BPCL-100018,BPCL,6,VALVE GATE 150MM 150LBS 316SS BUTTWELD,Mumbai Refinery,12,61874,40141611
ONGC-100019,ONGC,7,VALVE-GLOBE-RF-8IN-CL600-SS304,Ankleshwar,17,50037,40141612
IOCL-100020,IOCL,7,"VALVE GLOBE, 8"", 600#, 304SS, FLGD RF",Panipat Refinery,54,52823,40141612
BPCL-100021,BPCL,7,VALVE GLOBE 200NB 600LBS SS304 RAISED FACE,Bina Refinery,117,50772,40141612
ONGC-100022,ONGC,8,GASKET-SPIRAL-WOUND-RF-2IN-CL300-WCB,Ankleshwar,64,5117,31181504
IOCL-100023,IOCL,8,"GASKET SPIRAL WOUND, 2"", 300#, ASTM A216 WCB, FLGD RF",Gujarat Refinery,128,4150,31181504
BPCL-100024,BPCL,8,GASKET SPIRAL WOUND 50NB 300LBS CAST CS RAISED FACE,Mumbai Refinery,123,5436,31181504
ONGC-100025,ONGC,9,VALVE-GATE-RF-6IN-CL150-A105,Uran Trombay,55,59720,40141611
IOCL-100026,IOCL,9,"VALVE GATE, 6"", 150#, ASTM A105, FLGD RF",Mathura Refinery,6,62972,40141611
BPCL-100027,BPCL,9,VALVE GATE 150MM 150LBS FORGED CS RAISED FACE,Kochi Refinery,92,59779,40141611
ONGC-100028,ONGC,10,VALVE-GATE-BW-1/2IN-CL800-WCB,Hazira Plant,44,61723,40141611
IOCL-100029,IOCL,10,"VALVE GATE, 1/2"", 800#, ASTM A216 WCB, BW ENDS",Paradip,121,61772,40141611
BPCL-100030,BPCL,10,VALVE GATE DN15 800LB CAST CS BUTTWELD,Kochi Refinery,96,62288,40141611
ONGC-100031,ONGC,11,VALVE-CHECK-RF-2IN-CL600-WCB,Ankleshwar,9,40887,40141604
IOCL-100032,IOCL,11,"VALVE CHECK, 2"", 600#, ASTM A216 WCB, FLGD RF",Gujarat Refinery,5,39325,40141604
BPCL-100033,BPCL,11,VALVE CHECK 50NB 600LBS CAST CS RAISED FACE,Kochi Refinery,80,36503,40141604
ONGC-100034,ONGC,12,VALVE-BALL-BW-6IN-CL300-A105,Hazira Plant,4,43291,40141607
IOCL-100035,IOCL,12,"VALVE BALL, 6"", 300#, ASTM A105, BW ENDS",Panipat Refinery,47,46314,40141607
BPCL-100036,BPCL,12,VALVE BALL 150MM 300LBS FORGED CS BUTTWELD,Kochi Refinery,26,44998,40141607
ONGC-100037,ONGC,13,GASKET-SPIRAL-WOUND-BW-8IN-CL600-SS316,Mumbai High Offshore,68,4236,31181504
IOCL-100038,IOCL,13,"GASKET SPIRAL WOUND, 8"", 600#, AISI 316, BW ENDS",Panipat Refinery,92,6232,31181504
BPCL-100039,BPCL,13,GASKET SPIRAL WOUND 200NB 600LBS 316SS BUTTWELD,Kochi Refinery,80,3403,31181504
ONGC-100040,ONGC,14,FLANGE-WELD-NECK-BW-1IN-CL600-SS304,Uran Trombay,127,14079,40173308
IOCL-100041,IOCL,14,"FLANGE WELD NECK, 1"", 600#, 304SS, BW ENDS",Gujarat Refinery,136,10549,40173308
BPCL-100042,BPCL,14,FLANGE WELD NECK 25NB 600LBS SS304 BUTTWELD,Mumbai Refinery,12,10987,40173308
ONGC-100043,ONGC,15,VALVE-BALL-RF-4IN-CL800-SS304,Mumbai High Offshore,23,44682,40141607
IOCL-100044,IOCL,15,"VALVE BALL, 4"", 800#, 304SS, FLGD RF",Gujarat Refinery,106,44390,40141607
BPCL-100045,BPCL,15,VALVE BALL 100NB 800LB SS304 RAISED FACE,Kochi Refinery,39,43314,40141607
ONGC-100046,ONGC,16,GASKET-SPIRAL-WOUND-BW-1/2IN-CL800-SS304,Hazira Plant,144,4045,31181504
IOCL-100047,IOCL,16,"GASKET SPIRAL WOUND, 1/2"", 800#, 304SS, BW ENDS",Paradip,133,2510,31181504
BPCL-100048,BPCL,16,GASKET SPIRAL WOUND DN15 800LB SS304 BUTTWELD,Kochi Refinery,31,4103,31181504
ONGC-100049,ONGC,17,GASKET-SPIRAL-WOUND-RF-4IN-CL600-SS304,Mumbai High Offshore,0,4507,31181504
IOCL-100050,IOCL,17,"GASKET SPIRAL WOUND, 4"", 600#, 304SS, FLGD RF",Gujarat Refinery,75,3137,31181504
BPCL-100051,BPCL,17,GASKET SPIRAL WOUND 100NB 600LBS SS304 RAISED FACE,Kochi Refinery,48,4623,31181504
ONGC-100052,ONGC,18,VALVE-GLOBE-RF-1/2IN-CL800-A105,Ankleshwar,96,50908,40141612
IOCL-100053,IOCL,18,"VALVE GLOBE, 1/2"", 800#, ASTM A105, FLGD RF",Panipat Refinery,22,54985,40141612
BPCL-100054,BPCL,18,VALVE GLOBE DN15 800LB FORGED CS RAISED FACE,Mumbai Refinery,66,50443,40141612
ONGC-100055,ONGC,19,VALVE-GLOBE-BW-4IN-CL800-WCB,Hazira Plant,48,54124,40141612
IOCL-100056,IOCL,19,"VALVE GLOBE, 4"", 800#, ASTM A216 WCB, BW ENDS",Paradip,111,52087,40141612
